,Date,Sentiment
156,8/30/2016,0.528419112082881
157,8/29/2016,0.4765296455265235
158,8/26/2016,0.8243020952924577
159,8/25/2016,0.6302943038301616
160,8/24/2016,0.41776510612396445
161,8/23/2016,0.7523495442864349
162,8/22/2016,0.645920817933587
163,8/19/2016,0.18141001841777527
164,8/18/2016,0.4658809463416051
165,8/17/2016,0.7946303664099106
166,8/16/2016,0.6961792051560726
167,8/15/2016,0.5866348447004981
168,8/12/2016,0.826008203870008
169,8/11/2016,0.5993691659979539
170,8/10/2016,0.7228672518446805
171,8/9/2016,0.6683801431928305
172,8/8/2016,0.5762836672152
173,8/5/2016,0.5092714088590649
174,8/4/2016,0.4361823646575934
175,8/3/2016,0.9194854914184676
176,8/2/2016,0.6940849582010898
177,8/1/2016,0.35325448152775946
