Date,Amgen Inc. (AMGN),Teva Pharmaceutical Industries Limited (TEVA),Medtronic plc (MDT),Novartis AG (NVS),UnitedHealth Group Incorporated (UNH)
9/21/2016,171.500704,49.548982,86.163573,78.656314,138.837613
9/20/2016,171.037054,49.431197,85.392315,78.212474,136.416313
9/19/2016,169.064081,49.764926,85.026458,77.131823,136.624695
9/16/2016,170.622731,50.785746,85.046238,76.552894,137.408648
9/15/2016,170.307048,50.942795,84.700161,77.073925,134.570569
9/14/2016,167.840832,50.991872,83.731139,76.330978,132.665287
9/13/2016,167.012187,50.589434,83.889342,76.340628,132.923289
9/12/2016,169.71515,50.609066,85.234104,77.459875,134.49118
9/9/2016,164.299349,49.283962,83.919013,75.887138,132.595817
9/8/2016,168.659618,50.098656,85.293437,77.43093,134.401874
9/7/2016,168.324216,50.344045,85.184669,77.537067,133.955326
9/6/2016,168.531369,50.383308,86.193236,77.334445,134.307602
9/2/2016,167.475837,50.275336,86.341557,76.59149,134.939776
9/1/2016,167.830972,49.961238,86.00537,75.520482,134.080418
8/31/2016,167.761911,49.460642,86.054805,76.002917,134.386625
8/30/2016,168.452449,49.627509,85.876822,76.552894,135.196592
8/29/2016,169.192314,49.814003,86.479987,76.842358,135.59171
8/26/2016,169.646104,50.599248,85.629623,76.523949,134.949648
8/25/2016,167.929612,50.255704,84.433183,76.755523,135.621342
8/24/2016,168.531369,50.677774,85.679066,77.479177,138.159913
8/23/2016,172.043259,52.218818,86.816182,78.501938,140.273749
8/22/2016,171.993947,52.493653,86.341557,78.463342,140.352772
8/19/2016,171.273801,52.012692,86.064695,78.482637,140.303381
8/18/2016,172.388536,52.071583,86.104248,79.061565,140.431796
8/17/2016,171.954479,51.767303,86.153683,78.907182,139.977428
8/16/2016,169.833539,52.459744,86.292114,78.897532,139.355126
8/15/2016,172.220835,53.191196,86.92495,79.447508,139.888517
8/12/2016,169.695437,52.528012,86.559093,79.196647,141.133122
8/11/2016,169.116763,52.098892,86.816182,79.891355,140.886179
8/10/2016,167.939824,51.308926,86.311894,79.389618,140.451556
8/9/2016,168.773497,52.128152,86.756849,79.736972,140.086084
8/8/2016,169.028496,51.933098,85.98559,79.389618,140.392292
8/5/2016,170.323139,52.869355,86.114131,80.200114,141.241778
8/4/2016,169.352157,54.078691,85.787834,79.987841,140.965202
8/3/2016,170.097548,52.245183,85.698839,79.505405,141.133122
8/2/2016,170.803714,51.650268,86.657971,80.045731,141.41957
8/1/2016,170.813532,52.284195,87.073263,80.151867,141.755409
7/29/2016,168.724455,52.176915,86.648081,80.335195,141.449202
7/28/2016,167.988866,53.435013,86.440435,79.196647,141.014579
7/27/2016,167.400389,53.795862,86.499768,79.97819,139.947781
7/26/2016,164.448231,52.966884,87.261136,80.103621,139.967541
7/25/2016,163.359559,52.98639,85.946037,80.528167,139.997173
7/22/2016,162.486661,53.376496,86.124021,80.576413,141.933216
7/21/2016,161.035103,53.27897,86.954612,79.833458,141.123235
7/20/2016,160.113163,53.600807,87.755534,80.103621,141.27141
7/19/2016,159.367772,52.27444,87.389677,78.665965,140.846659
7/18/2016,159.799305,52.762075,87.201811,79.158051,139.029159
7/15/2016,160.142585,52.869355,87.369904,78.743156,139.60207
7/14/2016,159.612968,53.620313,87.834639,79.13875,139.118055
7/13/2016,157.435624,53.113173,87.755534,79.1484,139.75023
7/12/2016,158.847957,51.162634,87.923627,78.810697,138.150041
7/11/2016,157.102146,49.670473,87.518225,79.418563,138.604423
7/8/2016,158.004481,49.631461,87.369904,79.244886,139.542806
7/7/2016,153.581131,49.270612,86.50965,78.926484,139.078551
7/6/2016,153.051513,49.065807,86.470097,79.13875,140.639235
7/5/2016,151.305717,48.734215,85.649402,78.849293,139.829253
7/1/2016,151.31552,48.812235,85.629719,79.804513,139.137815
