Date,Ford Motor Company (F),Apple Inc. (AAPL),The Procter & Gamble Company (PG),The Coca-Cola Company (KO),Canon Inc. (CAJ)
1/22/2016,11.16844,98.784315,74.957463,40.380481,28.24
1/21/2016,11.048844,93.797377,74.33734,39.737233,27.42
1/20/2016,10.947647,94.274641,73.474981,39.727634,27.51
1/19/2016,10.993645,94.148022,73.70462,40.246068,28.040001
1/15/2016,11.012045,94.605802,72.023621,39.842841,27.65
1/14/2016,11.214438,96.93369,73.147487,40.207668,28.299999
1/13/2016,11.223638,94.859047,72.859313,40.178864,27.9
1/12/2016,11.821619,97.362258,73.493293,40.438083,28.059999
1/11/2016,11.748022,95.96942,73.646981,39.919649,28.280001
1/8/2016,11.536428,94.440222,72.974584,39.85244,28.040001
1/7/2016,11.683623,93.943473,74.136874,39.958048,28.450001
1/6/2016,12.060811,98.083025,74.790063,40.630097,29.34
1/5/2016,12.621993,100.040792,75.520099,40.850912,29.9
1/4/2016,12.851986,102.612183,75.279956,40.706904,29.860001
12/31/2015,12.962382,102.524526,76.278951,41.24454,30.129999
12/30/2015,13.03598,104.530989,76.912924,41.830183,30.42
12/29/2015,13.091177,105.914084,77.19149,41.964592,30.790001
12/28/2015,13.04518,104.043982,76.768837,41.753379,30.530001
12/24/2015,13.164776,105.222536,76.643965,41.801382,31.27
12/23/2015,13.210774,105.787465,76.768837,41.926188,31.360001
12/22/2015,13.063579,104.443331,76.461454,41.561365,31.049999
12/21/2015,12.631192,104.540731,75.837082,41.071728,30.540001
12/18/2015,12.695591,103.274512,75.049414,40.80291,30
12/17/2015,12.861185,106.147852,77.124251,41.753379,30.129999
12/16/2015,13.210774,108.446514,77.796647,42.089402,30.68
12/15/2015,12.759988,107.618605,76.538302,41.350148,30.200001
12/14/2015,12.529996,109.556895,75.203108,40.754907,30.15
12/11/2015,12.548396,110.238701,74.713215,40.582094,29.91
12/10/2015,12.842786,113.150995,74.722823,41.052526,30.139999
12/9/2015,12.778388,112.615293,74.636368,40.956521,29.799999
12/8/2015,12.851986,115.157465,74.684399,41.292543,30.17
12/7/2015,12.989981,115.206161,75.279956,41.474958,30.48
12/4/2015,13.063579,115.936671,74.761247,41.561365,30.6
12/3/2015,12.861185,112.206202,72.753649,40.764506,30.219999
12/2/2015,13.118777,113.258137,72.801681,41.062129,30.370001
12/1/2015,13.394768,114.290588,72.945768,41.177336,30.42
11/30/2015,13.183175,115.225646,71.889134,40.918117,30.219999
11/27/2015,13.367169,114.748374,72.715226,41.426956,30.370001
11/25/2015,13.385569,114.962658,72.907344,41.311746,30.23
11/24/2015,13.385569,115.790567,73.435654,41.311746,30.23
11/23/2015,13.385569,114.689936,72.974584,40.93064,30.48
11/20/2015,13.431567,116.199658,72.830497,40.425677,30.52
11/19/2015,13.403967,115.693167,73.214727,41.073555,30.51
11/18/2015,13.302771,114.241891,72.907344,40.282761,30.33
11/17/2015,13.01758,110.735449,72.110068,39.701576,30.27
11/16/2015,12.916383,111.212713,72.331003,39.977878,30.26
11/13/2015,12.805987,109.420527,71.043834,39.425278,30.01
11/12/2015,12.916383,112.712693,71.716238,39.615831,30.190001
11/11/2015,13.164776,113.092557,72.964976,40.054101,30.27
11/10/2015,13.137176,113.735401,72.782465,39.796855,30.309999
