Date,Sirius XM Holdings Inc. (SIRI),Comcast Corporation (CMCSA),McDonald's Corporation (MCD),FedEx Corporation (FDX),"Wal-Mart Stores, Inc. (WMT)"
7/5/2016,3.922208,32.107725,118.035318,151.492566,71.600025
7/1/2016,3.952073,32.241074,117.68344,153.15513,71.276971
6/30/2016,3.932163,32.060807,117.624789,151.104303,71.482549
6/29/2016,3.902299,31.446048,116.793969,149.591065,70.934342
6/28/2016,3.812705,31.018178,115.826308,147.440693,70.004347
6/27/2016,3.743021,30.718176,113.675949,145.479462,69.994556
6/24/2016,3.862479,30.319815,116.745101,149.899698,70.44487
6/23/2016,3.981937,30.959162,118.475162,157.187103,70.581921
6/22/2016,3.942118,30.806701,117.898478,155.813242,70.239292
6/21/2016,3.962028,30.757522,119.863121,163.220122,69.955397
6/20/2016,3.962028,30.718176,120.635297,163.737812,69.602976
6/17/2016,3.902299,30.673914,119.511243,161.527694,69.456133
6/16/2016,3.922208,31.032932,119.706735,161.14938,69.79877
6/15/2016,3.892344,30.664077,119.491697,158.949227,69.62256
6/14/2016,3.892344,30.806701,119.745833,159.038823,69.456133
6/13/2016,3.882389,30.68375,120.214999,159.317573,69.044978
6/10/2016,3.902299,30.88539,119.599216,159.754525,69.642135
6/9/2016,3.971983,30.949326,120.019514,162.972064,69.593185
6/8/2016,3.962028,31.09195,119.354857,163.607626,69.779187
6/7/2016,3.971983,31.106703,119.149596,163.687073,69.534451
6/6/2016,3.971983,31.180475,119.247338,162.137892,69.554034
6/3/2016,3.981937,31.259164,118.612003,162.684082,69.377823
6/2/2016,3.991892,31.308343,118.436064,163.657282,69.456133
6/1/2016,4.001847,31.34277,118.348098,163.557969,69.015611
5/31/2016,4.001847,31.131293,118.435422,163.826101,69.289714
5/27/2016,3.942118,30.924736,119.590087,163.329568,69.260347
5/26/2016,3.962028,30.63457,120.114053,162.26698,69.35824
5/25/2016,3.981937,30.787029,119.599792,163.081302,68.996035
5/24/2016,3.942118,30.70834,120.269298,163.240196,68.761083
5/23/2016,3.892344,30.398504,119.163151,160.91641,68.036666
5/20/2016,3.922208,30.373912,118.920574,160.509265,68.389087
5/19/2016,3.892344,29.631286,121.56951,158.006734,67.74298
5/18/2016,3.872434,29.695222,122.462189,158.384104,61.820368
5/17/2016,3.872434,29.719812,123.898243,157.589648,63.729307
5/16/2016,3.892344,30.491946,125.790335,157.490335,64.629935
5/13/2016,3.872434,30.413257,125.004391,156.666089,63.57268
5/12/2016,3.892344,30.619815,126.256077,158.264926,65.442461
5/11/2016,3.912254,30.526372,125.305183,160.171611,65.01173
5/10/2016,3.962028,30.806701,127.692139,162.118027,66.852146
5/9/2016,3.912254,30.206698,126.945,161.164677,67.007635
5/6/2016,3.912254,30.206698,126.702424,159.913419,66.327358
5/5/2016,3.862479,30.02473,125.441025,159.257992,65.316654
5/4/2016,3.862479,29.946042,125.489543,164.104159,65.297221
5/3/2016,3.932163,29.975551,124.587152,163.647342,65.112571
5/2/2016,3.952073,30.113256,124.393094,166.427929,65.685947
4/29/2016,3.932163,29.882106,122.733873,163.96513,64.986236
4/28/2016,3.902299,30.073912,124.121409,164.511319,66.968769
4/27/2016,3.962028,30.147682,124.49013,166.398139,67.464396
4/26/2016,3.952073,30.02473,123.917646,165.951262,67.347781
4/25/2016,3.952073,30.000141,123.67507,164.412007,67.512991
4/22/2016,3.942118,30.04932,121.773273,165.166747,66.784119
4/21/2016,3.922208,29.970632,122.054663,164.421947,66.541161
4/20/2016,3.912254,30.226371,124.732706,166.239244,67.260313
4/19/2016,3.912254,30.629651,125.033499,167.103222,67.804535
4/18/2016,3.832615,30.728013,125.023801,165.971128,67.892003
4/15/2016,3.882389,30.477193,123.985567,164.749645,67.114537
4/14/2016,3.872434,30.413257,123.723588,164.551035,66.861867
4/13/2016,3.902299,30.467356,123.121997,166.0605,67.202005
4/12/2016,3.842569,30.354241,123.820617,163.96513,66.861867
4/11/2016,3.792795,30.216534,123.772099,161.919416,65.501304
4/8/2016,3.832615,30.295223,124.160223,162.286846,66.142708
4/7/2016,3.80275,30.196864,124.334878,160.161685,66.298204
4/6/2016,3.912254,30.590308,123.733286,161.641359,67.095104
4/5/2016,3.852524,30.064076,123.597444,160.817113,66.70637
4/4/2016,3.882389,30.211617,123.781804,162.664216,67.153411
4/1/2016,3.942118,30.292763,123.248134,162.535113,67.114537
3/31/2016,3.932163,29.905965,121.947928,161.591703,66.560595
3/30/2016,3.942118,29.76887,122.093476,160.449683,66.861867
